UserName,Name,Category,Followers,Post Created Date,Post Created Time,Following,Likes,Total Interactions,Views,Comments,Number of Post,Posts,Link
jlo,Jennifer Lopez,Artist,246291434,2023-05-11,08:48:26,1520,7617847,7702735,1194513,84888,723,"['Summer is finally here ☀️ @Delola is the official drink of the summer … so sit back, open a bottle, pour over ice & enjoy! \U0001fa75 XOXO, Lola #DelolaLife 📸 @gregswalesart', 'New unreleased scene from #TheMother ✨ Enjoy it this #MemorialDayWeekend… @netflix @egt239 @nikicaro @gaelgarciab #JosephFiennes 📸 @lacarba', 'A lil #MemorialDayWeekend treat for you … a special extended flashback scene from #TheMother!!! @netflix @nikicaro @gaelgarciab @egt239\n\n📷: @lacarba', 'WARRIOR. #TheMother @Netflix\n\n@nikicaro @egt239 @lucypaezofficial \n\n📸 @lacarba 🎥 @jasonbergh', 'Dot, blend and glow with my favorite @JLoBeauty contour and highlight hack ✨ Get the Look on JLoBeauty.com + @Sephora #JLoBeautyRemix', '#THEMOTHER #NuyoricanProductions @nikicaro @egt239 @courtneybaxterr @lucypaezofficial @netflix 📸 @lacarba', 'Watching #TheMother with my beautiful mothers!!! @Delola watch party 🍷\n\n@netflix #DelolaLife #MotherIsAlwaysRight', 'A mother’s love is pure animal instinct … #TheMother @Netflix now playing ✨ @nikicaro @egt239', 'Skin prep by none other than @JLoBeauty for the premiere the other night ✨\n\nHave a movie night in with @Netflix #TheMother and your #JLoBeauty essentials from @Sephora + JLoBeauty.com @people \n\n📸: @LaCarba Robe: @intimissimiofficial', 'Ready for the weekend 😎✨ #TheMother @Netflix', 'Thank you @brunellocucinelli for this beautiful custom suit for my premiere last night!!! 🤍🤍🤍 #TheMother @Netflix @jlobeauty @hairbylorenzomartin @tombachik @robzangardi @marielhaenn @ash_kholm @brunellocucinelli_brand', 'THE MOTHER PREMIERE ✨ @Netflix @NetflixFilm @egt239 @nikicaro @lucypaezofficial @gaelgarciab @jlobeauty  @delola']",https://instagram.com/jlo
shakira,Shakira,Musician/band,86718858,2023-05-08,20:25:54,159,22759229,23262624,0,503395,2095,"['Jamming to #acrostico', '@bizarrap', 'Esta linda niña guajira que lleva nuestra bandera puesta pertenece a un colegio en Uribia para 1200 niños que no dispone de baños, aulas, comedor y cocina. \nEstaremos construyendo con @fpiesdescalzos aquí, un nuevo módulo con todo lo que necesitan. Seguimos trabajando y pedimos más esfuerzos al gobierno y al sector privado para que nuestros niños puedan obtener una educación digna y un futuro mucho mejor que su presente.', 'Si no hay olas se hacen!', 'Let’s go Heat! 🏀', 'Con @bizarrap y @duki', 'Con mi sobrina Isabella Mebarak @isabellamebarak anoche en su exhibición en Miami. Al fondo “Amerikkkan” su obra protesta sobre Black Lives Matter. One of my fav!', 'Este año Milan ha escrito canciones que me arrancaron lágrimas de emoción y Sasha ha dedicado horas en el piano, descubriendo su voz. \n\nAmbos han compartido a mi lado en el estudio y al escuchar esta canción dedicada a ellos me han pedido hacer parte. \n\nLa han sentido e interpretado por ellos mismos y para ellos mismos, con la pasión y el sentimiento del que lleva la música dentro.\n\nMilan y Sasha, es tan bonito ver como abren sus alas para empezar a realizar sus sueños! \n\nNo hay nada que me haga sentir más plena que ser su mamá ❤️', 'Happy Mother’s Day to the woman who taught me how to love.', 'Acróstico 👩\u200d👦\u200d👦 Ya Disponible / Out Now', 'ACRÓSTICO Mañana / Tomorrow 8PM EST', 'Thanks to @afovverde and my amazing @sonymusiclatin team 😍']",https://instagram.com/shakira
beyonce,Beyoncé,Musician,310306887,2023-03-24,16:34:34,0,33751449,34105703,0,354254,2074,"['My beautiful first born 🙏🏾 I’m so proud and thankful to be your mama. You bring us so much joy, my sweet angel.', 'Happy Muva’s Day. I love you so much Mama and I’m so grateful for all you do for me.', 'Welcome to the RENAISSANCE', 'Thank you @olivier_rousteing and @balmain for bringing RENAISSANCE to life in couture. Designing alongside you was freeing—thank you for allowing me to celebrate the human form, to take artistic risks, to push boundaries and to freely express myself.\n\nTo the @voguefrance team, thank you for trusting in our vision and sharing it with the world.']",https://instagram.com/beyonce
katyperry,KATY PERRY,,199883873,2023-05-16,01:53:54,753,2385707,2406300,3684778,20593,2226,"['This wedding szn, you don’t need to worry about catching the bouquet when you’re already wearing one 💐 #shoesdaytuesday', '@michaeljwoodard is bringin the trouble in his new vid, and it’s SO GEWD 2 ME, out now 🤩 check him in his starrrrr mode! @unsubrecords', 'Did someone say long weekend?! Don’t forget to stock up on all your fav apéritifs this MDW! Up to 15% off now!', 'Jump(suit) into summer ☀️ \n\nShoes: The Timmer Bow @katyperrycollections\nJumpsuit: The Hanna @aboutyou \n#shoesdaytuesday', 'orange u glad it was a great #idolfinale? 🍊🧡\n\n📸: @manthony783', '#MINUTEBEFORETHESHOW #IDOLFINALE', '#idolfinale with @havenmadisonsings \U0001faf6🏼', 'I ♥️ when my fav pop girlies visit me at work! \U0001f979 @elliegoulding live on #IDOLFINALE ON RN WATCH N VOTE ✔️', '🍽️ no crumbs… (but srsly which was ur fav tho? fight about it in the comments👇🏻) #idol', 'Celebrating the #idol finale tonight with a @buzzfeed interview w/ a half dozen PUPPIES!!!!! 🐶\U0001f979\U0001f972😭😩🥰\U0001faf6🏼🐶\n\nI talk all things IDOL, PLAY🍄, and even “hint” a lil bit about what’s to come', 'Actually, DO get it twisted! 🔀 #shoesdaytuesday', 'The collab y’all have been waiting for… GRWM (Katy) while @lukebryan narrates💄🤝\n(And then watch #idol’s road to the finale special tonight at 9pm ET!)\n\n📹: @biancanicdao']",https://instagram.com/katyperry
graceartworld,Grace Art World(NYC),Artist,1297,2019-12-18,06:50:21,941,3688,3870,0,182,93,"['Original abstract painting title:[Summer in Full Bloom] \n\n#flowerpainting\n#flowerpaintings \n#artistsupport \n#artistoninstagram \n#artlover \n#colorpainting', 'Original abstract landscape painting title: [Wildflowers in the smoky mountains No.1]\n\n#abstractlandscape \n#abstractart \n#joanmitchell \n#contemporaryart \n#artlover \n#artlovers \n#homedecor \n#homesweethome \n#colorpainting \n#abstraction \n#artistsoninstagram', 'Original abstract painting title: [Glittering Water Ripples In The Sunlight] \n#abstractartorg \n#abstractexpressionism \n#abstracts \n#abstractlandscape \n#contemporaryart \n#artistoninstagram \n#artistofinstagram \n#nycartist \n#nycartists \n#theartlovers \n#artloversclub \n#homedecor \n#homesweethome \n#home\n#artcollection \n#artcollectors \n#expressionistart\n#callforart \n#callforartists \n#hopperprize', 'Original acrylic abstract painting title:[ Blue Tulips] \nDimension: 35.6 X 43.2 cm \n#flowerspainting \n#abstracts \n#abstractpainting \n#bluecolor \n#bluecolorpaintings \n#homedecor \n#abstractflowers \n#home \n#homesweethome \n#homedecor \n#abstractexpressionism \n#abstract_post \n#paintings \n#artistsoninstagram\n#acrylicpainting \n#acrylicart \n#acryliconcanvas\n#hopperprize \n#callforartists', 'Original abstract painting title: [The Memory Lingers On] \n#abstracts \n#abstractsonfire \n#abstract_artpost\n#abstractexpressionism \n#textures \n#texturepainting\n#homedecor \n#homedecoration \n#designer \n#designinspiration \n#colorful \n#abstractartorg \n#contemporaryart\n#artcollection \n#artcontemporary \n#expressyourself \n#expression\n#abstractartorg\n#hopperprize \n#callforart \n#callforartists', 'Original abstract painting title:[Waltz Dance] \n#abstracts \n#abstractpainting \n#contemporarypainting \n#contemporary \n#nyartist \n#nyartists \n#homedecor \n#homesweethome \n#galleryartist \n#gallerywall \n#gallerywalldecor \n#wallart \n#artistsoninstagram \n#artist\n#abstractor \n#abstractartorg', 'Original abstract painting title: [DAWN] ... Many retired and private practice doctors and nurses answered City Hall’s cry for help, volunteering to join the Big Apple’s medical reserve and help treat their fellow New Yorkers stricken with coronavirus. “Thank you so much for being so strong in tough times!”🌷🌷💖❤️❤️💪💪 #abstract \n#abstractart \n#abstractexpressionism \n#abstractpainting \n#contemporaryart \n#nyc \n#artistsoninstagram \n#desinger \n#homedecor \n#nyartist \n#thankyou \n#thankful \n#gallerywall', 'Original abstract painting title:[Deep Sea No.1]\n\n#abstractpainters \n#abstractart \n#abstracts \n#abstractartorg \n#contemporary \n#contemporarypainting \n#contemporaryart \n#designinspiration \n#designer \n#fashiondesigner \n#nycartists \n#painting🎨 \n#homedecor \n#homesweethome \n#artgallery \n#artofinstagram', 'Original abstract painting title:[Fall in purple No.1] \n#floraldesign \n#artwork🎨 \n#contemporaryart \n#colors \n#abstractpainting \n#artoftheday \n#artistsoninstagram \n#artist \n#purple \n#abstracts \n#homesweethome \n#home \n#decor \n#partenariat \n#fashion \n#designer \n#designinspiration', 'Original abstract painting UNTILE No. 7\n\n#abstractpainting \n#abstracts \n#abstractart \n#homedecor \n#homesweethome🏡 \n#home \n#contemporarypainting \n#contemporaryart \n#acrylicpainting \n#desinger \n#designinspiration \n#designs', 'Original abstract painting title: [Brand Icons]\n\n#abstact \n#abstractphotography \n#abstractpaintingart \n#abstractpaintingartist \n#texturepainting \n#contemparyart \n#contemporarydesign \n#homedecorating \n#home \n#homesweethome \n#homedecorator \n#designinspiration \n#designerbags \n#designers', 'Original abstract painting title:[Ripples]\n\n#abstract_art \n#abstractpainters \n#abstractpainting \n#homesweethome \n#homedecorating \n#homedesign \n#paintings \n#colorpainting \n#abstraction \n#abstractart_daily \n#abstractors \n#colorfulart \n#interiordesigner \n#artistsoninstagram']",https://instagram.com/graceartworld
cristiano,Cristiano Ronaldo,Athlete,586750956,2023-05-01,19:00:13,561,115384179,116270010,11284393,885831,3491,"['Which is your favourite?\nTell me in the comments below 👇\nGet the @livescore app and never miss a goal', 'Great team spirit to come back and win it!\nBig thank you to the fans that stood with us when we most needed ! 🙌🏻 💛💙', 'Proud to extend my partnership with @herbalife as we enter a new era together. Thank you for fueling my performance over the years in the gym and on the field. #CR7Drive #LiveYourBestLife', '🌞', 'Sensing the power that #CR7ORIGINS gives me.\n\n#CR7\xa0#PLAYFECTIONISM #CR7FRAGRANCES  #FRAGRANCES', 'Important win tonight, 3 more games ahead!\nWe keep believing until the end!💪🏼💛💙', 'Had the pleasure a few years ago to visit Singapore, spend some time with these amazing kids and see the great work of the Peter Lim Scholarship. \nLooking forward to see all of you again next month🤗', 'Excited to visit the new @jacobandco boutique in Riyad, Saudi Arabia! Thank you @jacobarabo for the warm welcome.', 'Indulging in history and gastronomy at @tatel.riyadh in @bujairiterrace with a stunning view of #at_turaif @visitdiriyah', 'Happy family moments!♥️☀️', 'انا_عالمي \n#ANA_AALAMY\n💛💙', 'Goal alerts, the latest news, get it all on the @livescore app']",https://instagram.com/cristiano
ladygaga,Lady Gaga,Musician,55138216,2023-02-15,03:12:01,93,20047259,20228239,0,180980,3592,"['UK, are you ready for our supercharged artistry makeup? 🇬🇧 @hauslabs is launching exclusively at Sephora UK in-store and online on June 6, and we can’t wait for you to join us! Sign up for the waitlist on sephora.co.uk to shop the moment we drop! xx, LG #HausLabsxSephoraUK', 'Having a cuppa in celebration of something exciting coming tomorrow 🍵', '4 brand new neutral shades of our Le Monster Lip Crayon are now available at\xa0@sephora, @sephoracanada and @hauslabs\xa0💋', 'That’s a wrap ❤️\u200d🔥 🎬🃏 X, Harleen', '@ladygaga x @domperignonofficial photographed by @mario_sorrenti.\n\xa0\n#DomPérignon\n#DomPérignonxLadyGaga\n\xa0\nEnjoy responsibly.', '#HoldMyHand ✈️🖤 #Oscars 2023', '#Oscars 2023 🖤 @tiffanyandco @hauslabs', '🖤🖤🖤📽️', 'The new chapter of the @ladygaga x @domperignonofficial collaboration.\n\nPhotography: @mario_sorrenti\n\n#DomPérignon\n#DomPérignonxLadyGaga\n\nEnjoy responsibly.', 'The new chapter of the @ladygaga x @domperignonofficial collaboration celebrates devotion to the inspiring, uplifting work of creation, beautifully captured by @mario_sorrenti.\n\n#DomPérignon\n#DomPérignonxLadyGaga\n\nEnjoy responsibly.', 'The newest chapter of the @ladygaga x @domperignonofficial collaboration invites you to explore the process of creation: passionate, relentless, elevating.\n\nDirected and composed by @woodkidmusic, with choreography from @sidilarbicherkaoui.\n\n#DomPérignon\n#DomPérignonxLadyGaga\n\nEnjoy responsibly.', 'Folie à Deux 🃏']",https://instagram.com/ladygaga
chennaiipl,Chennai Super Kings,Sports team,12933621,2023-05-30,19:30:58,222,12313658,12361493,2519305,47835,12994,"['CHAMPION5️⃣! \n\n#IPL2023Final #CSKvGT  #WhistlePodu #Yellove 🦁', 'GOOSEBUMPS 🦁💛\n\n#IPL2023Final #CSKvGT #WhistlePodu #Yellove', '𝙒𝙚 𝙖𝙧𝙚 𝙩𝙝𝙚 𝘾𝙝𝙚𝙣𝙣𝙖𝙞 𝘽𝙤𝙮𝙨 \n𝙈𝙖𝙠𝙞𝙣𝙜 𝙖𝙡𝙡 𝙩𝙝𝙚 𝙣𝙤𝙞𝙨𝙚\n𝙀𝙫𝙚𝙧𝙮𝙬𝙝𝙚𝙧𝙚 𝙬𝙚 𝙜𝙤! 🥳🥳\n\n#CHAMPION5 #WhistlePodu #Yellove 🦁💛', 'Straight from the champion’s heart! \U0001f979💛\n\n#CHAMPION5 #WhistlePodu #Yellove 🦁', '1️⃣5️⃣0️⃣ times the power! 🔥\n\n#WhistlePodu #CHAMPION5 #Yellove 🦁💛', 'Achievement Unlocked - ⭐⭐⭐⭐⭐\n\n#CHAMPION5 #WhistlePodu #Yellove 💛', 'Thala x Superfans = 💛\n\n#WhistlePodu #Yellove 🦁', '6️⃣ time Champion - A Baahubalian Feat! 💪🏻\n\n#CHAMPION5 #WhistlePodu #Yellove 🦁💛', 'Hold it high, Young one! 💛\n\n#CHAMPION5 #WhistlePodu #Yellove 🦁', 'The DuO that knocked it out of the park! 🔥💪🏻\n\n#CHAMPION5 #WhistlePodu #Yellove 🦁💛', 'Just wanna say, Good Night Champions! We will remember today ♾️\n\n#WhistlePodu #Yellove #CHAMPION5🦁💛', '📹 57 seconds of \U0001f979💛\n\n#CHAMPION5 #WhistlePodu #Yellove 💛']",https://instagram.com/chennaiipl
mumbaiindians,Mumbai Indians,,12575031,2023-05-30,12:41:19,206,5497846,5520574,0,22728,21260,"['“A big thank you to our fans for the love and support throughout. Our paltan is the soul of Mumbai Indians! Beyond the wins and losses, MI has always been about spreading joy and cheer. And the team did that again. They put up a great show, fought hard in spite of the setbacks, and as always, gave a platform to amazing young talent like Tilak, Nehal, Madhwal, and Green! We are taking back lots of positives from this season with a promise to come back stronger next year.”\n\n- Nita Ambani and Akash Ambani.\n\n#OneFamily #MumbaiMeriJaan #MumbaiIndians', 'We fought for you, we played for you. Fell short, but full of gratitude for you, Paltan. 💙\n\n#OneFamily #MumbaiIndians #TATAIPL #IPL2023', 'आपली फॅमिली. #OneFamily. 💙\n\n#MumbaiMeriJaan #MumbaiIndians #IPL2023', ""Aapli Mumbaikerr loves 🇮🇳 and the feeling's mutual! 💙\n\n#OneFamily #MumbaiIndians #AaliRe #WPL #womenscricket #ameliakerr"", '🚌 trips आणि मज्जा मस्ती with the boys 😎\n\n#OneFamily #TeamIndia #WTC2023 @jd_unadkat @mohammedsirajofficial @akshar.patel @ishankishan23', 'Just 7️⃣ Days to #WTC23 Final 👊\n\n#OneFamily #TeamIndia #WTC2023 @rohitsharma45 @virat.kohli @mohammedsirajofficial @akshar.patel @cheteshwar_pujara', 'Akash Madhwal, First of his name, Breaker of Stumps, Collector of Hearts and Wickets, MI’s own. 💙\n\n#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 @akash_madhwal_', '🚨 Task for the day: pick your favourite knock from these 🔝 four! \n\n(Yes, we know it won’t be easy 😌) \n\n#OneFamily #MumbaiIndians #AaliRe #WPL #womenscricket', '#OneFamily ke saath hasi mazak masti toh permanent hai 😂😜🕺\n\n#MumbaiMeriJaan #MumbaiIndians #TATAIPL #IPL2023', 'Surfs 🆙 🏄\u200d♂️\n\n#OneFamily #MumbaiMeriJaan #MumbaiIndians @timdavid8 @dewald_brevis_17 @tristanstubbs013', 'Skipper says 👍😁\n\n#OneFamily #WTC2023 @rohitsharma45', ""𝟮𝟳𝟯𝟳 𝗥𝘂𝗻𝘀\n𝟳𝟳 𝗪𝗶𝗰𝗸𝗲𝘁𝘀\n𝟭𝟰𝟭 𝗦𝗶𝘅𝗲𝘀\n𝟮𝟰𝟲 𝗙𝗼𝘂𝗿𝘀\n\nAll this and more witnessed at the Joint Best Venue of the season.\n\nWankhede you've been special 💙\n\nPicture credits: @ompsyram \n\n#OneFamily #MumbaiIndians #MumbaiMeriJaan""]",https://instagram.com/mumbaiindians
royalchallengersbangalore,Royal Challengers Bangalore,Athlete,10904664,2023-05-30,04:53:02,87,5765726,5775987,0,10261,17774,"['Stories from Virat Kohli’s childhood in Delhi \n\nWe met Virat’s first coach Rajkumar Sharma, childhood friend Shalaj & his mother, and they tell us beautiful unheard anecdotes from Virat’s early days as a budding cricketer in Delhi, on @HombaleFilms brings to you Bold Diaries.\n\n#PlayBold #ನಮ್ಮRCB #IPL2023', 'RCB Insider with Mr. Nags fr. Mohammed Siraj \n\nIn form, on and off the field. Mr. Nags and Siraj bring in the Hyderabad flavour, do magic and entertain y’all, on @hombalefilms brings to you RCB Insider.\n\n#PlayBold #ನಮ್ಮRCB #IPL2023', 'Target Neutralized ☝️\n\nThere was no shortage of epic bullseye throws this season! 🎯\n\nWe set high standards of fielding for ourselves, and these direct hits will continue to inspire us! 👊\n\n#PlayBold #ನಮ್ಮRCB #IPL2023', 'The look when you see pace-friendly tracks! 😁\n\n#PlayBold #TeamIndia #WTC23', 'Striding in like a King! 👑\n\nThe Oval obstacle on his mind! 🏆\n\n#PlayBold #TeamIndia #WTC23', ""Captain Faf's class is beyond boundaries! \U0001fae1\n\nWe can't wait for next year too, Skip! 🙌\n\n#PlayBold #ನಮ್ಮRCB #IPL2023"", 'Out of the stadium and into the history books! 💪\n\nCaptain @fafdup struck the longest six and also topped the list of most sixes for #IPL2023! 👊\n\n#PlayBold #ನಮ್ಮRCB', ""Maxwell struck em well! 🚀\n\nAwaiting Maxi Mania in '24! 🙌\n\n#PlayBold #ನಮ್ಮRCB #IPL2023"", 'Getting ready for The Oval battle! 💙🇮🇳\n\nThe #WTC23 Final prep is going strong! 💪\n\n📸: BCCI \n\n#PlayBold #TeamIndia', ""𝘐𝘯 𝘵𝘩𝘦 𝘩𝘢𝘯𝘥𝘴 𝘰𝘧 𝘢 𝘮𝘢𝘴𝘵𝘦𝘳 𝘤𝘳𝘢𝘧𝘵𝘴𝘮𝘢𝘯, 𝘵𝘩𝘦 𝘸𝘪𝘭𝘭𝘰𝘸 𝘣𝘦𝘤𝘰𝘮𝘦𝘴 𝘢 𝘸𝘦𝘢𝘱𝘰𝘯 𝘰𝘧 𝘥𝘦𝘴𝘵𝘳𝘶𝘤𝘵𝘪𝘰𝘯! 🏏🔥\n\nCongratulations to Maxi for winning the 'Electric Striker of the Season' award for smashing it at 1⃣8⃣3⃣.4⃣8⃣! 🥵\n\nYou were a force to reckon with, and we're looking forward to seeing you embrace the same mojo next season, mate! 🙌\n\n#PlayBold #ನಮ್ಮRCB #IPL2023"", 'Every rep, every session counts 💪\n\nKing Kohli is putting in the hard yards for the #WTC23 Final 🔥\n\n📸: BCCI \n\n#PlayBold #TeamIndia', '𝗦𝗡𝗔𝗣𝗦𝗛𝗢𝗧𝗦 𝗜𝗣𝗟 𝟮𝟬𝟮𝟯 📸\n\nIt was one of the most exciting seasons of the #IPL, and here are some  memories to look back on! 🤩\n\nWhat was your favorite moment, 12th Man Army? 🤔\n\n📸: BCCI \n\n#PlayBold #ನಮ್ಮRCB #IPL2023']",https://instagram.com/royalchallengersbangalore
